"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"219","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Josh Oliver (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"221","Foster Moreau (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"222","Ian Thomas (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"223","Tanner Hudson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"224","MyCole Pruitt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"225","Chris Manhertz (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Darren Waller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.0%"
"227","Tyler Higbee (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4%"
"228","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"229","Nick Vannett (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Eric Tomlinson (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Cade Otton (TB)","0","2","0","0","0","0","0","1","-4","0","0","1","-0.4","-0.4","16.9%"
""
""
