"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"69","Jalen Nailor (MIN)","28","42","414","14.8","33","8","6","3","-4","0","1","17","75.0","4.4","4.5%"
"70","Stefon Diggs (NE)","47","64","496","10.6","49","5","3","3","8","1","0","8","74.9","9.4","85.2%"
"71","KaVontae Turpin (DAL)","31","52","420","13.5","64","6","2","16","92","0","1","17","73.2","4.3","2.6%"
"72","Tyler Lockett (TEN)","49","74","600","12.2","37","7","2","0","0","0","0","17","72.0","4.2","9.4%"
"73","Dontayvion Wicks (GB)","39","76","415","10.6","36","4","5","0","0","0","0","17","71.5","4.2","5.3%"
"74","Darius Slayton (NYG)","39","71","573","14.7","43","9","2","2","17","0","0","16","71.0","4.4","5.5%"
"75","Joshua Palmer (BUF)","39","65","584","15.0","45","10","1","0","0","0","0","15","68.4","4.6","17.6%"
"76","Mack Hollins (NE)","31","50","378","12.2","44","4","5","0","0","0","0","17","67.8","4.0","0.9%"
"77","Olamide Zaccheaus (CHI)","45","64","506","11.2","49","5","3","1","8","0","1","17","67.4","4.0","1.1%"
"78","Devaughn Vele (NO)","41","55","475","11.6","37","7","3","0","0","0","0","13","65.5","5.0","2.3%"
"79","Marquez Valdes-Scantling (SEA)","19","44","411","21.6","71","8","4","1","4","0","0","13","65.5","5.0","2.4%"
"80","Parker Washington (JAC)","32","51","390","12.2","30","6","3","0","0","0","0","17","65.0","3.8","1.6%"
"81","Ricky Pearsall (SF)","31","46","400","12.9","46","5","3","3","45","0","0","11","62.5","5.7","80.8%"
"82","Jalen Coker (CAR)","32","46","478","14.9","83","6","2","0","0","0","0","11","60.6","5.5","6.0%"
"83","Elijah Moore (BUF)","61","102","538","8.8","44","5","1","1","1","0","0","17","59.9","3.5","2.2%"
"84","Rashid Shaheed (NO)","20","41","349","17.5","70","5","3","6","29","0","1","6","59.8","10.0","61.8%"
"85","Tim Patrick (DET)","33","44","394","11.9","42","6","3","0","0","0","0","16","59.4","3.7","1.2%"
"86","Tutu Atwell (LAR)","42","62","562","13.4","50","10","0","2","7","0","0","17","56.9","3.3","3.2%"
"87","Diontae Johnson (CLE)","33","67","375","11.4","39","5","3","2","6","0","0","11","56.1","5.1","5.6%"
